hwID,utcTime,sourceID,bucketCamera,d2Dmode,LED1,LED2,rearCamera,leftCamera,rightCamera,comments,statusCalc,lastRevisionDate,lastRevisionBy,alarmRateMTDL,alarmRateLSM,totalLogsMTDL,totalLogsLSM,totalCycles,Is2D,totalLogsFM,totalLogsWM,stereoCamera,lcsStatus,hasLCS,LEDLights,faultyLED,hwStatusMC,hwStatusNonMC,MainStatusMC,MainStatusNonMC,customerDiagnostic
2424,"Fri, 22 Mar 2024 21:21:30 GMT",052-220718 - IBO EX8388,1,TRUE,0,5,0,0,0,[Mark Watters][Wed Mar 20 2024 17:39:47 GMT]Right Mono dirty. LCS fitted but not keeping lenses clean. Likely an LCS issue with water dripping on lenses post air cycle. Water initially thought to be hard and causing scale but only affects one lens often.,AVERAGE,Fri Mar 22 2024 14:21:30 GMT-0700 (hora de verano del PacÃ­fico),Jose Oliva,0%,0%,13,13,N/A,NULL,N/A,13,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
2426,"Fri, 22 Mar 2024 21:23:18 GMT",052-220718 - IBO EX8388,1,TRUE,0,5,0,0,0,"[Mark Watters][Wed, Mar 20 2024 17:39:47 GMT]Right Mono dirty. LCS fitted but not keeping lenses clean. Likely an LCS issue with water dripping on lenses post air cycle. Water initially thought to be hard and causing scale but only affects one lens often.",AVERAGE,Fri Mar 22 2024 14:23:18 GMT-0700 (hora de verano del PacÃ­fico),Jose Oliva,0%,0%,13,13,N/A,NULL,N/A,,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
2428,"Fri, 22 Mar 2024 21:26:52 GMT",IBO EX2619,1,FALSE,0,5,0,0,0,"[Mark Watters][Wed, Mar 20 2024 10:38:50 GMT]Colour camera dirty. Investigating why backhoes at Iron Bridge seem to get so dirty so quickly[Mon, 11 Mar 2024 23:35:51 GMT]",AVERAGE,Fri Mar 22 2024 14:26:52 GMT-0700 (hora de verano del PacÃ­fico),Jose Oliva,0%,0%,1423,1214,1489,NULL,975,339,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
2434,"Fri, 22 Mar 2024 21:32:58 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,0,1,"[Jakkie Page][Wed, Mar 20 2024 14:50:22 GMT]Bucket camera and rear surveillance camera needs to be cleaned.",AVERAGE,Fri Mar 22 2024 14:32:58 GMT-0700 (hora de verano del PacÃ­fico),Jose Oliva,0%,0%,146,125,163,NULL,91,0,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
2446,"Fri, 22 Mar 2024 21:41:56 GMT",018-220331-VLD-SH129,1,FALSE,0,1,0,0,1,[Elias Jara][Fri Mar 22 2024 12:45:26 GMT]THe BC3D and the right camera still needs to be cleaning.,WRONG,Fri Mar 22 2024 14:41:56 GMT-0700 (hora de verano del PacÃ­fico),Jose Oliva,0%,0%,663,486,1072,NULL,240,212,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
2457,"Fri, 22 Mar 2024 22:26:44 GMT",SIS 055-0200_9600-2,1,FALSE,0,3,0,0,0,LED alignment needed. Bucket camera needs cleaning.,WRONG,Fri Mar 22 2024 15:26:44 GMT-0700 (hora de verano del PacÃ­fico),Jose Oliva,0%,0%,781,701,686,NULL,531,,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
2627,"Wed, 27 Mar 2024 09:32:25 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,0,1,Rear Camera need to be cleaned.,AVERAGE,Wed Mar 27 2024 11:32:25 GMT+0200 (South Africa Standard Time),Jaco Taljaard,0%,0%,418,344,482,NULL,337,88,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
2633,"Wed, 27 Mar 2024 12:01:11 GMT",SIS 055-0200_9600-2,1,FALSE,0,5,0,0,0,LED alignment needed.,AVERAGE,Wed Mar 27 2024 14:01:11 GMT+0200 (South Africa Standard Time),Jaco Taljaard,0%,0%,856,808,782,NULL,492,606,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
2741,"Tue, 02 Apr 2024 11:40:42 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,0,1,Bucket and Rear Camera need to be cleaned.,AVERAGE,Tue Apr 02 2024 13:40:42 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,157,151,160,NULL,103,45,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
2773,"Wed, 03 Apr 2024 02:39:16 GMT",052-220718 - IBO EX8388,1,TRUE,0,5,0,0,0,"[Mark Watters][Wed, 03 Apr 2024 02:37:55 GMT]",AVERAGE,Wed Apr 03 2024 10:39:16 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
2824,"Wed, 03 Apr 2024 08:34:13 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,0,0,Bucket Camera need to be cleaned.,AVERAGE,Wed Apr 03 2024 10:34:13 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,393,382,516,NULL,366,40,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
2857,"Thu, 04 Apr 2024 06:51:03 GMT",052-220718 - IBO EX8388,1,TRUE,0,5,0,0,0,"[Mark Watters][Thu, 04 Apr 2024 06:50:59 GMT]",AVERAGE,Thu Apr 04 2024 14:51:03 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
2899,"Thu, 04 Apr 2024 09:13:30 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,0,0,Bucket Camera need to be cleaned.,AVERAGE,Thu Apr 04 2024 11:13:30 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,512,482,642,NULL,421,110,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
2900,"Thu, 04 Apr 2024 09:13:30 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,0,0,Bucket Camera need to be cleaned.,AVERAGE,Thu Apr 04 2024 11:13:30 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,512,482,642,NULL,421,110,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3049,"Mon, 08 Apr 2024 02:05:27 GMT",052-220718 - IBO EX8388,1,TRUE,0,5,0,0,0,"[Mark Watters][Mon, 08 Apr 2024 02:05:11 GMT]",AVERAGE,Mon Apr 08 2024 10:05:27 GMT+0800 (Australian Western Standard Time),Mark Watters,0%,0%,16,11,7,NULL,N/A,15,,1,TRUE,,,GOOD,GOOD,AVERAGE,,
